Site,date_adjusted,order,CI,BA,year,month,t,t_mod,fi,hix,mhix,bix,a254,a300,E2_E3,S275_295,S350_400,SR,NO2.NO3,NH4,TOC_conc2,DOC,DIC,pH,cond,alk,Ca,K,Mg,Na,SO4,Cl,SiO2,Al,Fe,Mn,Zn,Cd,Cu,Ni,TOC_conc,TN_conc,TOC_conc3
H1,2021-07-21,13,H,A,2021,7,655,287,1.372725013,3.090404337,0.7555253912,0.6360174755,9.008880349,5.17428559,4.354223398,0.01213270467,0.01355094185,0.8953403241,0.763,0.008,N/A,1.145,4.071,6.503527641,42.5,0.3007487655,5.362266,0.418691,1.041933,1.403026,2.333284548,0.2148254055,11.77,0.018815,0.016013,0.005175,0.002905,0.000008,0.002508,0.00019,N/A,N/A,1.145
H2,2021-07-22,13,H,A,2021,7,656,288,1.334178067,7.183848524,0.8778081001,0.4889789802,11.9177096,7.417532624,3.841880224,0.01058090996,0.01345009962,0.7866789287,0.596,0.008,N/A,1.204,5.392,6.76717329,60.90000153,0.495493561,7.441148,0.399289,1.582214,2.095857,3.371690558,0.1355297064,14.61,0.017079,0.011199,0.002563,0.003395,0.000065,0.002161,0.000353,N/A,N/A,1.204
C2,2021-08-16,14,C,A,2021,8,681,313,1.263345881,13.27436323,0.9299443356,0.5345988934,26.40324768,14.37732583,5.431935201,0.0145761321,0.01845237738,0.7899324731,0.047,0.012,N/A,3.323,2.913,6.841959476,29.60000038,0.2505944371,4.043029,0.440662,0.607781,1.196298,1.847539957,0.1332866775,8.93,0.075806,0.033597,0.012061,0.004472,0.00002,0.002747,0.000352,N/A,N/A,3.323
C1,2021-08-17,14,C,A,2021,8,682,314,1.26130826,16.16163444,0.9417304917,0.4383915475,44.4608276,25.63541245,5.012497145,0.01332606549,0.01854304055,0.7186559,0.07,0.003,N/A,5.257,5.061,7.177570343,44.09999847,0.3914606273,6.123953,0.316826,1.28791,1.283143,0.9971454716,0.1313256526,9.44,0.0595,0.128486,0.006752,0.002913,0.000016,0.001583,0.001032,N/A,N/A,5.257
H1,2021-08-18,14,H,A,2021,8,683,315,1.558773167,3.30859939,0.7679060155,0.6265246802,6.408458537,3.668407089,4.745164431,0.01313776676,0.01485579439,0.8843530282,0.823,0.003,N/A,1.356,4.022,7.034320354,45.59999847,0.3390364349,5.4955,0.359787,1.039024,1.370829,2.270585675,0.2370304444,10.56,0.016023,0.029462,0.0015,0.002318,0.000017,0.001108,0.000283,N/A,N/A,1.356
H2,2021-08-19,14,H,A,2021,8,684,316,1.439614648,2.554999061,0.7187059735,0.6723161033,8.923402535,5.215255239,4.440740618,0.01280212669,0.01615799081,0.7923093185,0.638,0.001,N/A,1.16,6.019,7.316454411,65.40000153,0.5329440832,7.934733,0.434395,1.654344,2.210859,3.386971191,0.168053189,14.68,0.020337,0.011408,0.003466,0.001696,0.000018,0.00102,0.000198,N/A,N/A,1.16
C2,2021-09-13,15,C,A,2021,9,709,341,1.349341977,8.831764482,0.8982888573,0.5640899643,32.37837519,17.80368609,5.190032332,0.01425929863,0.01754322612,0.8128093736,0.039,0.011,N/A,3.763,2.223,6.791230679,29.70000076,0.1860352457,3.853542,0.242194,0.561715,1.087171,3.378467406,0.1655125898,8.3,0.074963,0.01847,0.005492,0.005658,0.000019,0.001845,0.000284,N/A,N/A,3.763
C1,2021-09-14,15,C,A,2021,9,710,342,1.283047762,17.18117523,0.944998055,0.4348122638,106.5314812,62.37061697,4.975932414,0.01268050214,0.01884491893,0.6728870627,0.021,0.019,N/A,10.405,2.504,6.880626202,33.29999924,0.2816830575,4.67892,0.491382,1.021812,0.995482,1.284878267,0.1407578008,8.75,0.245552,0.263267,0.026695,0.060387,0.000004,0.003474,0.000529,N/A,N/A,10.405
H1,2021-09-15,15,H,A,2021,9,711,343,1.604318294,5.071518099,0.8352965463,0.745673216,7.02159728,4.089891663,4.378765154,0.01355156401,0.01508798382,0.8981693097,0.856,0.001,N/A,0.862,3.942,6.97141552,47.59999847,0.3582723141,5.924888,0.400474,1.134712,1.444134,2.20055712,0.2407571076,6.09,0.019218,0.01623,0.001785,0.002724,0,0.000661,0.00009,N/A,N/A,0.862
H2,2021-09-16,15,H,A,2021,9,712,344,1.623472632,3.410798927,0.7732837029,0.5204461562,10.56567282,6.26235545,4.269163498,0.01223212678,0.01518071796,0.8057673432,0.646,0,N/A,0.95,5.435,7.322909355,62.90000153,0.5572220683,7.771039,0.517364,1.655513,2.246011,3.311839656,0.1766009105,14.41,0.01564,0.010653,0.002957,0.005162,0.000004,0.001384,0.000228,N/A,N/A,0.95
C1,2021-10-18,16,C,A,2021,10,744,376,1.381136264,15.43738881,0.9391630866,0.4597720237,67.52419416,39.69929312,4.810311753,0.01248102196,0.01788219074,0.6979582168,0.014,0.004,N/A,6.524,2.766,7.040618896,31.39999962,0.2586742043,3.908644,0.443586,0.877758,0.96717,1.618260331,0.1815985654,9.18,0.143507,0.161553,0.00605,0.004371,0.000017,0.001441,0.000407,N/A,N/A,6.524
C2,2021-10-19,16,C,A,2021,10,745,377,1.322880767,15.22721407,0.9383751274,0.4709127522,38.19488915,20.92103637,5.61485446,0.01427861118,0.0195245547,0.7313155869,0.028,0.001,N/A,4.667,2.141,6.778351307,25.20000076,0.1781277806,2.836525,0.386632,0.411035,0.975523,2.064093035,0.2303426752,8.06,0.117194,0.017503,0.00194,0.004447,0.000015,0.001136,0.000249,N/A,N/A,4.667
H1,2021-10-20,16,H,A,2021,10,746,378,1.545697269,3.000360583,0.7500225344,0.7052876136,8.731556414,5.068488018,4.622427036,0.01150039861,0.01610951307,0.7138886541,1.043,-0.002,N/A,1.048,4.532,6.924420834,50.5,0.3529461026,5.758032,0.392747,1.072773,1.39021,2.025973291,0.2692467477,10.65,0.023669,0.028696,0.003439,0.008579,0.000003,0.001461,0.000091,N/A,N/A,1.048
H2,2021-10-21,16,H,A,2021,10,747,379,1.386225807,5.376698032,0.8431790254,0.5564889538,13.89370132,8.40788304,4.367431809,0.01166214427,0.01579928205,0.7381439378,0.818,0.003,N/A,1.375,5.49,7.155675411,57.79999924,0.3548657596,6.494378,0.458752,1.452201,1.949849,2.879781698,0.1943762149,13.07,0.0219,0.009324,0.00295,0.003436,0.000017,0.001268,0.00012,N/A,N/A,1.375
